지역,중분류,기준년월,성별,연령대별,카드이용금액계,카드이용건수계
홍성군,일식/중식/양식,201702,F,30대초,48692896,1094.8
금산군,한식,201712,M,60대후,36936473.6,1097.98
금산군,일식/중식/양식,201712,M,40대초,31330806,1097.98
서천군,제과/커피/패스트푸드,201712,M,40대초,17570078.5,1108.64
계룡시,한식,201706,F,30대초,37553283,1110.66
서천군,일식/중식/양식,201710,M,40대후,54689625,1110.66
아산시,일식/중식/양식,201711,F,60대초,28552198,1113.66
홍성군,제과/커피/패스트푸드,201711,F,50대후,14616168.8,1119.04
부여군,한식,201708,F,60대초,40190332,1119.3
계룡시,한식,201703,F,50대후,33874722,1120.56
금산군,일식/중식/양식,201710,M,30대후,26953746,1121.04
공주시,일식/중식/양식,201702,M,50대후,35876120,1123.36
금산군,한식,201702,F,30대초,33416056.8,1128.12
부여군,제과/커피/패스트푸드,201705,F,50대초,10508602.5,1128.6
홍성군,일식/중식/양식,201707,F,30대초,38947720,1133.16
보령시,일식/중식/양식,201708,F,50대후,55311755.2,1140.62
부여군,제과/커피/패스트푸드,201711,M,20대후,11268948,1145.94
공주시,한식,201703,F,70대이상,28917451.5,1149.54
서천군,일식/중식/양식,201705,M,40대후,37538325,1153.35
부여군,제과/커피/패스트푸드,201708,F,50대초,10571948.4,1156.61
보령시,일식/중식/양식,201710,F,50대초,77299341,1172.94
금산군,제과/커피/패스트푸드,201706,F,30대후,12961272.45,1172.94
홍성군,일식/중식/양식,201709,F,50대후,62911242,1179.9
홍성군,일식/중식/양식,201708,F,30대초,40163149,1188.59
금산군,제과/커피/패스트푸드,201712,F,40대후,14815747.7,1188.59
천안시,일식/중식/양식,201702,M,60대후,36823360,1194.76
예산군,제과/커피/패스트푸드,201705,F,50대초,14313370.5,1197.9
예산군,제과/커피/패스트푸드,201712,F,20대초,11680908.2,1204.58
서천군,일식/중식/양식,201710,M,40대초,48043830,1209.27
당진시,한식,201708,F,70대이상,53309061,1231.23
예산군,일식/중식/양식,201702,M,40대초,37802016,1237.6
서천군,제과/커피/패스트푸드,201708,M,30대초,12324239.2,1247.22
태안군,일식/중식/양식,201704,M,30대초,46369303.5,1276.6
공주시,일식/중식/양식,201712,F,20대후,31703906,1284.53
금산군,제과/커피/패스트푸드,201707,M,40대후,25618513.2,1298.08
금산군,일식/중식/양식,201711,M,40대후,30655240,1301.96
보령시,제과/커피/패스트푸드,201706,F,50대후,15195801,1313.07
계룡시,일식/중식/양식,201706,M,40대초,38814089.7,1318.26
예산군,제과/커피/패스트푸드,201708,F,50대초,18335519.8,1327.17
예산군,제과/커피/패스트푸드,201707,M,50대초,17358574.8,1335.32
금산군,한식,201705,F,60대초,39857400,1336.5
논산시,일식/중식/양식,201705,F,40대초,37057680,1336.5
